Name,Website,RSS,Needs-build-variable,Self-hosted
aria2,https://github.com/tatsuhiro-t/aria2/releases,,FALSE,FALSE
Audacity,http://sourceforge.net/projects/audacity/files/audacity/,http://sourceforge.net/projects/audacity/rss,FALSE,FALSE
Avidemux,http://sourceforge.net/projects/avidemux/files/avidemux/,http://sourceforge.net/projects/avidemux/rss,FALSE,FALSE
Blender,http://download.blender.org/release/,,TRUE,FALSE
CDBurnerXP,http://download.cdburnerxp.se/portable/,https://cdburnerxp.se/rss/news.xml,FALSE,FALSE
DCPlusPlus,http://sourceforge.net/projects/dcplusplus/files/,http://sourceforge.net/projects/dcplusplus/rss,FALSE,FALSE
Dolphin,https://dolphin-emu.org/download/,,FALSE,TRUE
DOSBox,http://sourceforge.net/projects/dosbox/files/dosbox/,http://sourceforge.net/projects/dosbox/rss,FALSE,TRUE
Doxygen,http://www.stack.nl/~dimitri/doxygen/download.html,,FALSE,FALSE
Eclipse,http://www.eclipse.org/downloads/,https://eclipse.org/downloads/rss.php,TRUE,FALSE
FileZilla,http://sourceforge.net/projects/filezilla/files/FileZilla_Client/,http://sourceforge.net/projects/filezilla/rss,FALSE,FALSE
GDisk,http://sourceforge.net/projects/gptfdisk/files/gptfdisk/,http://sourceforge.net/projects/gptfdisk/rss,FALSE,FALSE
GitExtensions,http://sourceforge.net/projects/gitextensions/files/Git%20Extensions/,http://sourceforge.net/projects/gitextensions/rss,FALSE,FALSE
Golly,http://sourceforge.net/projects/golly/files/golly/,http://sourceforge.net/projects/golly/rss,FALSE,FALSE
Gow,https://github.com/bmatzelle/gow/releases,http://githubtags.higgsboson.tk/github/bmatzelle/gow.atom,FALSE,TRUE
HDGraph,http://sourceforge.net/projects/hdgraph/files/HDGraph/,http://sourceforge.net/projects/hdgraph/rss,FALSE,FALSE
Jitsi,https://download.jitsi.org/jitsi/msi/,,FALSE,FALSE
LibreOffice,http://www.libreoffice.org/download/libreoffice-fresh/,,FALSE,FALSE
Mediathek,http://sourceforge.net/projects/zdfmediathk/files/Mediathek/,http://sourceforge.net/projects/zdfmediathk/rss,FALSE,FALSE
Mozilla_Firefox,http://ftp.mozilla.org/pub/mozilla.org/firefox/releases/,,FALSE,FALSE
MPC-HC,http://sourceforge.net/projects/mpc-hc/files/MPC%20HomeCinema%20-%20x64/,http://sourceforge.net/projects/mpc-hc/rss,FALSE,FALSE
NetBeans,https://netbeans.org/downloads/,https://netbeans.org/rss-091.xml,TRUE,FALSE
Nmap,http://nmap.org/dist/,,FALSE,TRUE (only Zenmap)
NotepadPlusPlus,http://notepad-plus-plus.org/download/,http://notepad-plus-plus.org/feed.rss,FALSE,FALSE
Oracle_JDK,http://www.oracle.com/technetwork/java/javase/downloads/index.html,,FALSE,TRUE
Oracle_JRE,http://www.oracle.com/technetwork/java/javase/downloads/index.html,,FALSE,TRUE
PDFsam,http://sourceforge.net/projects/pdfsam/files/pdfsam/,http://sourceforge.net/projects/pdfsam/rss,FALSE,FALSE
Pidgin,http://sourceforge.net/projects/pidgin/files/Pidgin/,http://sourceforge.net/projects/pidgin/rss,FALSE,FALSE
pngcrush,http://sourceforge.net/projects/pmt/files/pngcrush-executables/,http://sourceforge.net/projects/pmt/rss,FALSE,FALSE
PuTTY,http://the.earth.li/~sgtatham/putty/latest/x86/,,FALSE,FALSE
ScummVM,http://sourceforge.net/projects/scummvm/files/scummvm/,http://sourceforge.net/projects/scummvm/rss,FALSE,FALSE
Sublime_Text2,http://www.sublimetext.com/2,,FALSE,FALSE
Sublime_Text3,http://www.sublimetext.com/3,,FALSE,FALSE
VirtualDub,http://sourceforge.net/projects/virtualdub/files/virtualdub-win/,http://sourceforge.net/projects/virtualdub/rss,FALSE,FALSE
VLC,http://get.videolan.org/vlc/,http://images.videolan.org/videolan-news.rss,FALSE,FALSE
WinMerge,http://sourceforge.net/projects/winmerge/files/stable/,http://sourceforge.net/projects/winmerge/rss,FALSE,FALSE
WinSCP,http://sourceforge.net/projects/winscp/files/WinSCP/,http://sourceforge.net/projects/winscp/rss,TRUE,FALSE
yEd,http://www.yworks.com/en/products_yed_download.html,http://www.yworks.com/en/newsfeed.php,FALSE,FALSE
